movieId,title,overview
4960,"Synecdoche, New York","A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play."
5122,The Day of the Locust,An art director in the 1930s falls in love and attempts to make a young woman an actress despite Hollywood who wants nothing to do with her because of her problems with an estranged man and her alcoholic father.
5335,Teorema,"A wealthy Italian household is turned upside down when a handsome stranger (Terence Stamp) arrives, makes love to every family member and then disappears. Each has an epiphany of sorts, but none can figure out who the seductive visitor was or why he came."
5689,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline (Brooke Shields) and Richard (Christopher Atkins) make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?"
5723,Once,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love."
5854,Family Plot,Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
5968,The Woman in Red,"When a happily married family man, who would never consider an affair, meets a beautiful woman in red, he is totally infatuated and desperate to make her acquaintance. However, as he tries out various schemes to sneak out to meet her, he realizes that adultery is not quite as easy as it looks."
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems."
4789,The Garden of the Finzi-Continis,"In late 1930s Ferrara, Italy, the Finzi-Continis are a leading family: wealthy, aristocratic, and urbane; they are also Jewish. Their adult children, Micol and Alberto, gather a diverse circle of friends for tennis and parties at their villa with its lovely grounds, and try to keep the rest of the world at bay. But tensions between them all grow as anti-Semitism rises in Fascist Italy, and even the Finzi-Continis will have to confront the Holocaust."
6116,Spice World,"The film follows the Spice Girls and their entourage (mostly fictional characters) - manager Clifford, his assistant Deborah, filmmaker Piers (who is trying to shoot a documentary on ""the real Spice Girls"") and others in their everyday life."
32562,The Celluloid Closet,"This documentary highlights the historical contexts that gays, lesbians, bisexuals and transgenders have occupied in cinema history, and shows the evolution of the entertainment industry's role in shaping perceptions of LGBT figures. The issues addressed include secrecy – which initially defined homosexuality – as well as the demonization of the homosexual community with the advent of AIDS, and finally the shift toward acceptance and positivity in the modern era."
41769,Prom Night IV: Deliver Us from Evil,"Carrying on the Prom Night tradition, this film begins back at Hamilton High School on Prom Night in 1957. As a young couple are enjoying a romantic moment together in the back seat of a car, they are interrupted by Father Jonas, a priest who slashes and immolates the lovers. Thirty years later, Jonas gets loose from the chapel basement where the church fathers had been secretly keeping him locked up and drugged. As luck would have it, it's prom night again, and group of four students have unfortunately chosen Jonas's hideout as their secluded getaway spot."
4771,Gone Baby Gone,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve the case, they are faced with a moral dilemma that tears them apart."
98,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death."
409,The English Patient,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Almásy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Almásy is on his death bed after being horribly burned in a plane crash."
3687,Flesh Gordon,"Emperor Wang (the Perverted) is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon. Along with his girlfriend Dale Ardor and Professor Flexi-Jerkoff, they set off towards the source of the Sex Ray, unaware of the perils that face them!"
4415,Les Misérables,"Jean Valjean, a Frenchman imprisoned for stealing bread, must flee a police officer named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France."
5691,The Canterbury Tales,Glimpses of Chaucer penning his famous work are sprinkled through this re-enactment of several of his stories.
7984,In the Name of the Father,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence."
8854,Steel,"Justice. Safe streets. Payback. Metallurgist John Henry Irons (O'Neal) vows to claim them all when a renegade military reject (Judd Nelson) puts new superweapons in dangerous hands. Helped by an electronics wiz (Annabeth Gish) and an imaginative scrap metal worker (Richard Roundtree), Irons becomes Steel. Wearing body armor, wielding a fearsome electrohammer and riding a gadget-packed motorcycle, he's ready to wage war...if he can fix the untimely glitches in his untested gear. ""You all be cool now,"" the good-guy hero tells two crime victims he rescues. There'll be a lot of thrillin' before Steel himself can start chillin.'"
55207,Gaslight,"Twenty years after the murder of Alice Barlow, her house is finally occupied again. However, the husband of the couple who have moved in has a secret which he will do anything to keep hidden."
64900,I Can't Sleep,"Ninon is a spirited hotel-manager who teaches self-defense classes to her terrified elderly neighbors. Daiga, an aspiring Lithuanian actress newly arrived to Paris, comes to live at the hotel and becomes fascinated with the life of a mysteriously beautiful drag performer, Camille. Camille occasionally seeks refuge at the home of his brother, Theo, a quiet Antillean musician and carpenter who longs to return with his child to his native land against the wishes of his estranged wife, Mona. Through the medium of these characters unfolds a provocative and chilling examination of the intersecting lives of the lovers, acquaintances, family members, and victims of a serial killer. –inbaseline.com"
69746,The String,"Malik has a lot on his plate when he returns home to Tunisia after living in France. He's processing his father's death, he can't come out to his mother, and his childhood anxieties have resurfaced. But all of Malik's problems seem to fade away when he falls for Bilal, the dreamy houseboy at his mother's bourgeois estate."
95963,The Walking Dead,"Five young marines on a suicide mission in Vietnam, struggle for survival in a jungle minefield. The mean streets of home did not prepare them for this."
872,Singin' in the Rain,"In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her."
26578,The Falcon and the Snowman,The true story of a disillusioned military contractor employee and his drug pusher childhood friend who became walk-in spies for the Soviet Union.
756,Fantasia,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again."
844,2046,"2046 is the sequel to Wong Kar-Wais’ successful box-office hit In The Mood For Love. A film about affairs, ending relationships, and a shared love for Kung-Fu novels as the main character, Chow, writes his own novel and reflects back on his favorite love Su."
4561,The Story of O,"The beautiful O is taken by her boyfriend, Rene, to a bizarre retreat, where she is trained in bondage and sexual perversion..."
5203,Wild Orchid,A woman lawyer becomes mesmerized by a self-made millionaire during an encounter in Rio setting off a series of erotic encounters.
5961,Fanny & Alexander,"Through the eyes of ten-year-old Alexander, we witness the delights and conflicts of the Ekdahl family, a sprawling bourgeois clan in turn-of-the-twentieth-century Sweden."
1613,The 51st State,"Elmo McElroy is a streetwise American master chemist who heads to England to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' McElroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. But his plans for a quick, profitable score go comically awry when he gets stuck in Liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses."
1852,World Trade Center,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them."
4964,Knocked Up,"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant."
747,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners."
32078,Panic in the Streets,"One night in the New Orleans slums, vicious hoodlum Blackie and his friends kill an illegal immigrant who won too much in a card game. Next morning, Dr. Clint Reed of the Public Health Service confirms the dead man had pneumonic plague. To prevent a catastrophic epidemic, Clint must find and inoculate the killers and their associates, with the reluctant aid of police captain Tom Warren, despite official skepticism, and in total secrecy, lest panic empty the city. Can a doctor turn detective? He has 48 hours to try..."
834,Underworld: Evolution,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines."
1430,Bowling for Columbine,"Why do 11,000 people die in America each year at the hands of gun violence? Talking heads yelling from every TV camera blame everything from Satan to video games. But are we that much different from many other countries? What sets us apart? How have we become both the master and victim of such enormous amounts of violence? This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old, Bowling for Columbine is a journey through America, through our past, hoping to discover why our pursuit of happiness is so riddled with violence."
1632,Mississippi Burning,"Two FBI agents investigating the murder of civil rights workers during the 60s seek to breach the conspiracy of silence in a small Southern town where segregation divides black and white. The younger agent trained in FBI school runs up against the small town ways of his, former Sheriff, partner."
7343,City of Men,"Best buddies Acerola and Laranjinha, about to turn 18, discover things about their missing fathers' pasts which will shatter their solid friendship, in the middle of a war between rival drug gangs from Rio's favelas."
8367,Robin Hood: Prince of Thieves,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror."
8832,Il Divo,"The narration spans the period since the seventh election of Andreotti as Prime Minister of Italy in 1992, until the trial in which he was accused of collusion with the Mafia."
8835,Legally Blonde,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde."
8839,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away."
8974,The War of the Worlds,"The residents of a small town are excited when a flaming meteor lands in the hills, but their joy is short-lived when they discover it has passengers who are not very friendly."
269,Breathless,A young car thief kills a policeman and tries to persuade a girl to hide in Italy with him.
8982,The Protector,"In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the animals were sent to Sidney. He travels to Australia, where he locates the baby elephant in a restaurant owned by the evil Madame Rose, the leader of an international Thai mafia. With the support of the efficient Thai sergeant Mark, who was involved in a conspiracy, Kham fights to rescue the animal from the mobsters."
31225,Paris is Burning,"A chronicle of New York City's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality."
200,Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded."
600,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
201,Star Trek: Nemesis,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself."
243,High Fidelity,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back."
343,Harold and Maude,The young Harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. Harold meets an 80-year-old woman named Maude who also lives in her own world yet one in which she is having the time of her life. When the two opposites meet they realize that their differences don’t matter and they become best friends and love each other.
43177,Son of Lassie,Laddie (Son of Lassie) and his master are trapped in Norway during WW2 - has he inherited his mothers famous courage?
867,Sliver,A women moves into an apartment in Manhattan and learns that the previous tenant's life ended mysteriously after the tenant fell from the balcony.
3001,How to Steal a Million,A woman must steal a statue from a Paris museum to help conceal her father's art forgeries.
957,Spaceballs,"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?"
2075,Prizzi's Honor,"A professional hit man and hit woman fall in love, only to discover that they have each been hired to kill the other."
2977,Becoming Jane,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.
1165,The Queen,"The Queen is an intimate behind the scenes glimpse at the interaction between HM Elizabeth II and Prime Minister Tony Blair during their struggle, following the death of Diana, to reach a compromise between what was a private tragedy for the Royal family and the public's demand for an overt display of mourning."
4553,The Machinist,"The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia..."
26603,Vice Versa,"A mysterious oriental skull transforms a father into his son, and vice versa."
5910,Fireworks,"A police officer leaves the force in the face of harrowing personal and professional difficulties. Spiraling into a depression, he makes questionable decisions."
8899,Lorna's Silence,"In order to become the owner of a snack bar with her boyfriend, Lorna, a young Albanian woman living in Belgium, becomes an accomplice to a diabolical plan devised by mobster Fabio."
5994,The Family Man,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves."
39231,Man's Favorite Sport?,"Rock Hudson is Roger Willoughby, a renowned fishing expert, who, unbeknownst to his friends, co-workers, or boss, has never cast a line in his life. One day, he crosses paths with Abigail Paige (Paula Prentiss), a sweetly annoying girl who has just badgered his boss into signing Roger up for an annual fishing tournament."
8814,Doom,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious."
2487,Lady Snowblood,Yuki's family is nearly wiped out before she is born due to the machinations of a band of criminals. These criminals kidnap and brutalize her mother but leave her alive. Later her mother ends up in prison with only revenge to keep her alive. She creates an instrument for this revenge by purposefully getting pregnant. Yuki never knows the love of a family but only killing and revenge.
3580,Changeling,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum."
698,Moonraker,During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.
961,The General,"During America’s Civil War Union spies steal engineer Johnnie Gray's (Buster Keaton's) beloved locomotive The General and he single-handedly must do all in his power to get it back. Released throughout most of the world in 1927, this Silent comedy-action film flopped when originally released, but now is regarded as one of the great American motion pictures. The story is based on actual historic events."
7211,Dan in Real Life,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend."
476,Drugstore Cowboy,"Bob and his friends Dianne, Rick and Nadine have been drug addicts for years and live from one high to the next. Gus Van Sant attempts to show an intimate look into the lives of heroin addicts with his film Drugstore Cowboy."
4380,Shall We Dance?,"Upon first sight of a beautiful instructor, a bored and overworked estate lawyer signs up for ballroom dancing lessons."
6877,Failure to Launch,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result."
3109,The Quiet Man,"Sean Thornton has returned from America to reclaim his homestead and escape his past. Sean's eye is caught by Mary Kate Danaher, the beautiful spinster and younger sister of ill-tempered ""Red"" Will Danaher. The riotous relationship that forms between Sean and Mary Kate, punctuated by Will's pugnacious attempts to keep them apart, form the plot, with Sean's past as the dark undercurrent."
692,Pink Flamingos,"Notorious Baltimore criminal and underground figure Divine goes up against Connie &amp; Raymond Marble, a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as ""The Filthiest Person Alive""."
1382,Me and You and Everyone We Know,"The feature film debut by artist Miranda July about a various comic situations and plots that intertwine. One story line is about a father who is ending his marriage and the other story is of a video artist (possibly autobiographical of Miranda July, also played by her) who is desperately trying to get her work in a modern art museum. The film won Caméra d'Or at Cannes."
1599,I Heart Huckabees,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means."
2669,The Bounty,"The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat."
4923,Zardoz,"In the far future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements."
2897,Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days."
4437,2010,"This is a sequel to 2001 A Space Odyssey. It is now 2010 and both the Americans and the Russians are racing to get to Jupiter to investigate the black monolith (similar to the one found in Lunar Crater Clavius) which was found by the U.S.S. Discovery in orbit around Jupiter's moons. The U.S.S. Discovery's orbit is rapidly decaying and it will crash into IO but the Americans cannot get there in time to save U.S.S. Discovery. The Russians can get to Jupiter in time but only the Americans have the knowledge to access and awaken the U.S.S. Discovery's H.A.L.9000 sentient computer. This forces a joint American-Soviet space expedition against a backdrop of growing global tensions. The combined expedition is seeking answers to several mysteries. What is the significance of the black monolith? Why did H.A.L.9000 act so bizarrely and terminate 4 of 5 of the U.S.S. Discovery's crew? What happened to David Bowman? Along the way, curious data is detected  ..."
5165,L'Avventura,"A woman disappears during a Mediterranean boating trip. During the search for the woman, her lover and her best friend become attracted to each other."
8195,Ronin,"A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case."
8848,The Bank Job,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt."
25774,Fados,A drama steeped in Portugal's Fado music culture.
26320,Taking Woodstock,"The story of Elliot Tiber and his family, who inadvertently played a pivotal role in making the famed Woodstock Music and Arts Festival into the happening that it was. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival, he calls the producers thinking he could drum up some much-needed business for his parents' run-down motel. Three weeks later, half a million people are on their way to his neighbor’s farm in White Lake, New York, and Elliot finds himself swept up in a generation-defining experience that would change his life–and American culture–forever."
32686,Gray's Anatomy,"The film documents, in an often dramatic and humorous fashion, Gray's investigations into alternative medicine for an eye condition (Macular pucker) he had developed."
48231,A Dangerous Method,"Seduced by the challenge of an impossible case, the driven Dr. Carl Jung takes the unbalanced yet beautiful Sabina Spielrein as his patient. Jung’s weapon is the method of his master, the renowned Sigmund Freud. Both men fall under Sabina’s spell."
4593,The Discreet Charm of the Bourgeoisie,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
31156,Dante's Hell Animated,"Dante's Hell Animated is a real and truthful epic animation film that embarks Dante Alighieri's journey through the first part of the afterlife, Hell. It is a compelling four-quadrant film presented circle by circle in a chronological descent to the center of Hell, and to the exit into Purgatory. Dante's Hell Animated comes in two versions, one recited in primitive Italian in Dante's own words, and another narrated in English better understanding in this non-original language. Dante is guided by his hero Virgil through each circle of Hell and their subdivisions until they reach the center of the Earth and escaped to the other hemisphere into Purgatory. It features over 50 original color illustrations from the upcoming Dante's Hell comic book and magazine series, put together in a series of animation clips that will delight young and mature audiences."
401,Garden State,"Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life."
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."
4584,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites."
26,Walk on Water,"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country during which, Axel challenges Eyal's values."
2039,Moonstruck,"Cher is devastatingly funny, sinuous and beautiful as Loretta, an unlucky-in-love Italian widow who finds romance through the intervention of the Manhattan moon. With her wedding to a close friend just weeks away, she meets - and falls hopelessly in love with - his younger brother (Cage)!"
4169,Breach,"Eric O'Neill, a computer specialist who wants to be made an agent is assigned to clerk for Robert Hanssen, a senior agent with 25 years in the FBI, and to write down everything Hanssen does. O'Neill's told it's an investigation of Hanssen's sexual habits, however Hanssen is really suspected of spying for the Soviet Union and Russia for years and being responsible for the deaths of agents working for the United States."
4248,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue."
5038,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
6723,The Rookie,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope."
8986,Milk Money,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession."
